"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.828890780E-1,2.703889608E-1,7.178467698E-3,9.940383911E0,9.944063255E0
3.852538180E-1,2.751746178E-1,2.153540403E-2,9.933204651E0,9.937038768E0
3.876185050E-1,2.850449979E-1,3.110669367E-2,9.947562218E0,9.951693944E0
3.899832450E-1,2.775674164E-1,3.828516230E-2,9.949954987E0,9.953899420E0
3.923479320E-1,2.799602449E-1,2.632104978E-2,9.959526062E0,9.963494865E0
3.947126720E-1,2.874378264E-1,1.674975827E-2,9.957133293E0,9.961295321E0
3.970773590E-1,2.850449979E-1,9.571290575E-3,9.949954987E0,9.954041717E0
3.994420990E-1,2.826521695E-1,1.196411345E-2,9.937990189E0,9.942016112E0
4.018068380E-1,2.922234535E-1,1.435693540E-2,9.940383911E0,9.944688681E0
4.041715260E-1,2.850449979E-1,1.674975827E-2,9.940383911E0,9.944484074E0
4.065362650E-1,2.874378264E-1,1.914258115E-2,9.942776680E0,9.946949032E0
4.089010050E-1,2.898306549E-1,1.914258115E-2,9.921240807E0,9.925491796E0
4.112656930E-1,2.703889608E-1,3.589234129E-2,9.906884193E0,9.910638369E0
4.136304320E-1,2.775674164E-1,7.178467698E-3,9.911669731E0,9.915558081E0
4.159951200E-1,2.775674164E-1,2.153540403E-2,9.909276962E0,9.913187044E0
4.183598590E-1,2.751746178E-1,3.110669367E-2,9.923633575E0,9.927496766E0
4.207245470E-1,2.775674164E-1,3.828516230E-2,9.906884193E0,9.910845768E0
4.230892860E-1,2.584248483E-1,3.828516230E-2,9.921240807E0,9.924679758E0
4.254540260E-1,2.632105052E-1,4.307080805E-2,9.933204651E0,9.936784666E0
4.278187130E-1,2.703889608E-1,3.349951655E-2,9.949954987E0,9.953684576E0
4.301834530E-1,2.632105052E-1,4.307080805E-2,9.949954987E0,9.953528977E0
4.325481930E-1,2.850449979E-1,2.871387079E-2,9.928419113E0,9.932551597E0
4.349128800E-1,2.656033039E-1,2.392822690E-2,9.949954987E0,9.953528114E0
4.372776200E-1,2.656033039E-1,3.349951655E-2,9.940383911E0,9.943988115E0
4.396423070E-1,2.727817893E-1,2.871387079E-2,9.921240807E0,9.925031664E0
4.420070470E-1,2.727817893E-1,3.349951655E-2,9.923633575E0,9.927438515E0
4.443717860E-1,2.632105052E-1,2.153540403E-2,9.935597420E0,9.939106581E0
4.467364740E-1,2.536391914E-1,3.589234129E-2,9.921240807E0,9.924547357E0
4.491012130E-1,2.679961324E-1,2.632104978E-2,9.909276962E0,9.912935218E0
4.514659010E-1,2.536391914E-1,3.589234129E-2,9.909276962E0,9.912587504E0
4.538306400E-1,2.656033039E-1,4.307080805E-2,9.926026344E0,9.929672663E0
4.561953800E-1,2.584248483E-1,2.153540403E-2,9.947562218E0,9.950941727E0
4.585600680E-1,2.632105052E-1,2.153540403E-2,9.928419113E0,9.931930811E0
4.609248070E-1,2.727817893E-1,3.110669367E-2,9.935597420E0,9.939390002E0
4.632894950E-1,2.560320199E-1,3.349951655E-2,9.952347755E0,9.955696885E0
4.656542340E-1,2.488535494E-1,3.828516230E-2,9.949954987E0,9.953140111E0
4.680189740E-1,2.512463629E-1,3.589234129E-2,9.926026344E0,9.929270466E0
4.703836610E-1,2.536391914E-1,3.349951655E-2,9.918848038E0,9.922147018E0
4.727484010E-1,2.679961324E-1,2.392822690E-2,9.918848038E0,9.922496706E0
4.751130880E-1,2.512463629E-1,2.392822690E-2,9.914062500E0,9.917274452E0
4.774778280E-1,2.488535494E-1,3.589234129E-2,9.918848038E0,9.922034204E0
4.798425150E-1,2.656033039E-1,1.914258115E-2,9.935597420E0,9.939165339E0
4.822072550E-1,2.727817893E-1,1.914258115E-2,9.930811882E0,9.934576034E0
4.845719950E-1,2.464607358E-1,2.632104978E-2,9.947562218E0,9.950649716E0
4.869366820E-1,2.536391914E-1,2.871387079E-2,9.935597420E0,9.938875863E0
4.893014220E-1,2.751746178E-1,4.546362907E-2,9.952347755E0,9.956255012E0
4.916661090E-1,2.703889608E-1,1.435693540E-2,9.942776680E0,9.946462910E0
4.940308490E-1,2.656033039E-1,1.435693540E-2,9.945169449E0,9.948725878E0
4.963955880E-1,2.632105052E-1,2.632104978E-2,9.947562218E0,9.951078667E0
4.987602760E-1,2.536391914E-1,2.153540403E-2,9.945169449E0,9.948426608E0
5.011250150E-1,2.440679073E-1,3.349951655E-2,9.940383911E0,9.943436210E0
5.034897030E-1,2.656033039E-1,2.153540403E-2,9.937990189E0,9.941562145E0
5.058544430E-1,2.751746178E-1,3.589234129E-2,9.933204651E0,9.937080254E0
5.082191820E-1,2.775674164E-1,3.110669367E-2,9.928419113E0,9.932347023E0
5.105838700E-1,2.656033039E-1,2.392822690E-2,9.952347755E0,9.955920024E0
5.129486090E-1,2.632105052E-1,3.110669367E-2,9.954740524E0,9.958268238E0
5.153132970E-1,2.775674164E-1,2.392822690E-2,9.942776680E0,9.946679061E0
5.176780360E-1,2.751746178E-1,3.110669367E-2,9.933204651E0,9.937064120E0
5.200427760E-1,2.679961324E-1,2.392822690E-2,9.937990189E0,9.941631832E0
5.224074630E-1,2.608176768E-1,1.914258115E-2,9.957133293E0,9.960567038E0
5.247722030E-1,2.536391914E-1,7.178467698E-3,9.942776680E0,9.946013899E0
5.271368900E-1,2.656033039E-1,4.785645287E-3,9.949954987E0,9.953500502E0
5.295016300E-1,2.632105052E-1,2.392822644E-3,9.940383911E0,9.943868352E0
5.318663700E-1,2.656033039E-1,1.914258115E-2,9.964311600E0,9.967869241E0
5.342310570E-1,2.751746178E-1,2.153540403E-2,9.966704369E0,9.970525604E0
5.365957970E-1,2.656033039E-1,2.632104978E-2,9.964311600E0,9.967885612E0
5.389604840E-1,2.656033039E-1,1.196411345E-2,9.947562218E0,9.951114628E0
5.413252240E-1,2.751746178E-1,4.785645287E-3,9.930811882E0,9.934624734E0
5.436899630E-1,2.703889608E-1,2.153540403E-2,9.933204651E0,9.936907396E0
5.460546510E-1,2.632105052E-1,3.349951655E-2,9.935597420E0,9.939139705E0
5.484193900E-1,2.703889608E-1,2.392822690E-2,9.947562218E0,9.951265087E0
5.507840780E-1,2.703889608E-1,1.674975827E-2,9.937990189E0,9.941681937E0
5.531488180E-1,2.632105052E-1,3.589234129E-2,9.942776680E0,9.946324755E0
5.555135570E-1,2.775674164E-1,3.110669367E-2,9.942776680E0,9.946698920E0
5.578782450E-1,2.922234535E-1,2.871387079E-2,9.935597420E0,9.939935368E0
5.602429840E-1,2.775674164E-1,3.349951655E-2,9.937990189E0,9.941922092E0
5.626076720E-1,2.799602449E-1,3.349951655E-2,9.945169449E0,9.949165559E0
5.649724110E-1,2.922234535E-1,3.110669367E-2,9.928419113E0,9.932767402E0
5.673370990E-1,3.017947674E-1,1.914258115E-2,9.899705887E0,9.904323458E0
5.697018380E-1,2.775674164E-1,2.153540403E-2,9.911669731E0,9.915578869E0
5.720665780E-1,2.775674164E-1,2.871387079E-2,9.916455269E0,9.920380701E0
5.744312650E-1,2.799602449E-1,1.674975827E-2,9.945169449E0,9.949123261E0
5.767960050E-1,2.703889608E-1,3.349951655E-2,9.947562218E0,9.951292704E0
5.791606930E-1,2.679961324E-1,2.153540403E-2,9.933204651E0,9.936842574E0
5.815254320E-1,2.826521695E-1,2.153540403E-2,9.911669731E0,9.915722509E0
5.838901720E-1,2.727817893E-1,2.153540403E-2,9.935597420E0,9.939364656E0
5.862548590E-1,2.751746178E-1,4.546362907E-2,9.945169449E0,9.949079524E0
5.886195990E-1,2.679961324E-1,3.589234129E-2,9.933204651E0,9.936884060E0
5.909842860E-1,2.922234535E-1,2.871387079E-2,9.911669731E0,9.916018147E0
5.933490260E-1,2.994019389E-1,2.153540403E-2,9.918848038E0,9.923389123E0
5.957137650E-1,2.970091105E-1,3.828516230E-2,9.942776680E0,9.947285473E0
5.980784530E-1,2.850449979E-1,3.589234129E-2,9.954740524E0,9.958885370E0
6.004431930E-1,2.898306549E-1,2.632104978E-2,9.935597420E0,9.939858686E0
6.028079320E-1,2.874378264E-1,3.589234129E-2,9.930811882E0,9.935035652E0
6.051726200E-1,2.679961324E-1,1.435693540E-2,9.945169449E0,9.948790048E0
6.075373590E-1,2.703889608E-1,4.307080805E-2,9.949954987E0,9.953721390E0
6.099020470E-1,2.775674164E-1,3.828516230E-2,9.949954987E0,9.953899420E0
6.122667860E-1,2.584248483E-1,4.307080805E-2,9.921240807E0,9.924699373E0
6.146314740E-1,2.608176768E-1,1.435693540E-2,9.923633575E0,9.927070833E0
6.169962130E-1,2.584248483E-1,1.435693540E-2,9.923633575E0,9.927008253E0
6.193609530E-1,2.512463629E-1,2.392822690E-2,9.930811882E0,9.934018418E0
6.217256400E-1,2.440679073E-1,3.589234129E-2,9.935597420E0,9.938659542E0
